Name,Source,Page,Level,Casting Time,Duration,School,Range,Components,Classes,Optional/Variant Classes,Subclasses,Text,At Higher Levels
Major Image,PHB'24,295,3rd,Action,"Concentration, up to 10 minutes",Illusion,120 feet,"V, S, M (a bit of fleece)","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard, Moon (TDCSR) Cleric, Moon (TDCSR) Cleric","You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 20-foot Cube. The image appears at a spot that you can see within range and lasts for the duration. It seems real, including sounds, smells, and temperature appropriate to the thing depicted, but it can't deal damage or cause conditions.If you are within range of the illusion, you can take a Magic action to cause the image to move to any other spot within range. As the image changes location, you can alter its appearance so that its movements appear natural for the image. For example, if you create an image of a creature and move it, you can alter the image so that it appears to be walking. Similarly, you can cause the illusion to make different sounds at different times, even making it carry on a conversation, for example.Physical interaction with the image reveals it to be an illusion, for things can pass through it. A creature that takes a Study action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and its other sensory qualities become faint to the creature.","Using a Higher-Level Spell Slot. The spell lasts until dispelled, without requiring Concentration, if cast with a level 4+ spell slot."
Mass Healing Word,PHB'24,296,3rd,Bonus,Instantaneous,Abjuration,60 feet,V,"Bard (PHB'24), Cleric (PHB'24)",,"Alchemist (TCE) Artificer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Life (PHB'24) Cleric, Order (TCE) Cleric, Order (TCE) Cleric",Up to six creatures of your choice that you can see within range regain Hit Points equal to 2d4 plus your spellcasting ability modifier.,Using a Higher-Level Spell Slot. The healing increases by 1d4 for each spell slot level above 3.
Melf's Minute Meteors,XGE,161,3rd,Action,"Concentration, up to 10 minutes",Evocation,Self,"V, S, M (niter, sulfur, and pine tar formed into a bead)",,"Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create six tiny meteors in your space. They float in the air and orbit you for the spell's duration. When you cast the spell—and as a bonus action on each of your turns thereafter—you can expend one or two of the meteors, sending them streaking toward a point or points you choose within 120 feet of you. Once a meteor reaches its destination or impacts against a solid surface, the meteor explodes. Each creature within 5 feet of the point where the meteor explodes must make a Dexterity saving throw. A creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the number of meteors created increases by two for each slot level above 3rd."
Motivational Speech,AI,77,3rd,1 Min.,1 hour,Enchantment,60 feet,V,"Bard (PHB'14), Bard (PHB'24), Cleric (PHB'14), Cleric (PHB'24)",,"Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","“I once heard a motivational speech by Jim and it was the worst ninety seconds of my life. What does Omin see in him, anyway?”— Walnut DankgrassYou address allies, staff, or innocent bystanders to exhort and inspire them to greatness, whether they have anything to get excited about or not. Choose up to five creatures within range that can hear you. For the duration, each affected creature gains 5 temporary hit points and has advantage on Wisdom saving throws. If an affected creature is hit by an attack, it has advantage on the next attack roll it makes. Once an affected creature loses the temporary hit points granted by this spell, the spell ends for that creature.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the temporary hit points increase by 5 for each slot level above 3rd."
Phantom Steed,PHB'24,304,3rd,1 Min.,1 hour,Illusion (ritual),30 feet,"V, S",Wizard (PHB'24),,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, Undead (VRGR) Warlock, Undead (VRGR) Warlock","A Large, quasi-real, horselike creature appears on the ground in an unoccupied space of your choice within range. You decide the creature's appearance, and it is equipped with a saddle, bit, and bridle. Any of the equipment created by the spell vanishes in a puff of smoke if it is carried more than 10 feet away from the steed.For the duration, you or a creature you choose can ride the steed. The steed uses the Riding Horse stat block, except it has a Speed of 100 feet and can travel 13 miles in an hour. When the spell ends, the steed gradually fades, giving the rider 1 minute to dismount. The spell ends early if the steed takes any damage.",
Plant Growth,PHB'24,305,3rd,Action,Instantaneous,Transmutation,150 feet,"V, S","Bard (PHB'24), Druid (PHB'24), Ranger (PHB'24)",,"Archfey (PHB'24) Warlock, Wildfire (TCE) Druid, Wildfire (TCE) Druid, Land (Forest) (PHB'14) Druid, Lore (PHB'24) Bard, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Ancients (PHB'24) Paladin, Ancients (PHB'14) Paladin, Archfey (PHB'14) Warlock",This spell channels vitality into plants. The casting time you use determines whether the spell has the Overgrowth or the Enrichment effect below. Overgrowth. Choose a point within range. All normal plants in a 100-foot-radius Sphere centered on that point become thick and overgrown. A creature moving through that area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell's area from being affected. Enrichment. All plants in a half-mile radius centered on a point within range become enriched for 365 days. The plants yield twice the normal amount of food when harvested. They can benefit from only one Plant Growth per year.,
Protection from Energy,PHB'24,309,3rd,Action,"Concentration, up to 1 hour",Abjuration,Touch,"V, S","Artificer (TCE), Cleric (PHB'24), Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Abjurer (PHB'24) Wizard, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Desert) (PHB'14) Druid, Clockwork (PHB'24) Sorcerer, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Forge (XGE) Cleric, Forge (XGE) Cleric, Glory (PHB'24) Paladin, Glory (TCE) Paladin, Vengeance (PHB'24) Paladin, Vengeance (PHB'14) Paladin, Ancients (PHB'24) Paladin, Ancients (PHB'14) Paladin, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","For the duration, the willing creature you touch has Resistance to one damage type of your choice: Acid, Cold, Fire, Lightning, or Thunder.",
Revivify,PHB'24,312,3rd,Action,Instantaneous,Necromancy,Touch,"V, S, M (a diamond worth 300+ GP, which the spell consumes)","Artificer (TCE), Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24)",,"Celestial (PHB'24) Warlock, Wildfire (TCE) Druid, Wildfire (TCE) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Grave (XGE) Cleric, Grave (XGE) Cleric, Life (PHB'24) Cleric, Life (PHB'14) Cleric, Celestial (XGE) Warlock","You touch a creature that has died within the last minute. That creature revives with 1 Hit Point. This spell can't revive a creature that has died of old age, nor does it restore any missing body parts.",
Sending,PHB'24,314,3rd,Action,Instantaneous,Divination,Unlimited,"V, S, M (a copper wire)","Bard (PHB'24), Cleric (PHB'24), Wizard (PHB'24)",,"Aberrant Mind (TCE) Sorcerer, Aberrant (PHB'24) Sorcerer, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Peace (TCE) Cleric, Peace (TCE) Cleric, Great Old One (PHB'14) Warlock","You send a short message of 25 words or fewer to a creature you have met or a creature described to you by someone who has met it. The target hears the message in its mind, recognizes you as the sender if it knows you, and can answer in a like manner immediately. The spell enables targets to understand the meaning of your message.You can send the message across any distance and even to other planes of existence, but if the target is on a different plane than you, there is a 5 percent chance that the message doesn't arrive. You know if the delivery fails.Upon receiving your message, a creature can block your ability to reach it again with this spell for 8 hours. If you try to send another message during that time, you learn that you are blocked, and the spell fails.",
Slow,PHB'24,318,3rd,Action,"Concentration, up to 1 minute",Transmutation,120 feet,"V, S, M (a drop of molasses)","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Blood (TDCSR) Cleric, Blood (TDCSR) Cleric, Land (Arctic) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Order (TCE) Cleric, Order (TCE) Cleric","You alter time around up to six creatures of your choice in a 40-foot Cube within range. Each target must succeed on a Wisdom saving throw or be affected by this spell for the duration.An affected target's Speed is halved, it takes a -2 penalty to AC and Dexterity saving throws, and it can't take Reactions. On its turns, it can take either an action or a Bonus Action, not both, and it can make only one attack if it takes the Attack action. If it casts a spell with a Somatic component, there is a 25 percent chance the spell fails as a result of the target making the spell's gestures too slowly.An affected target repeats the save at the end of each of its turns, ending the spell on itself on a success.",
Speak with Plants,PHB'24,319,3rd,Action,10 minutes,Transmutation,Self,"V, S","Bard (PHB'24), Druid (PHB'24), Ranger (PHB'24)",,Lore (PHB'24) Bard,"You imbue plants in an immobile 30-foot Emanation with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell's area within the past day, gaining information about creatures that have passed, weather, and other circumstances.You can also turn Difficult Terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into Difficult Terrain that lasts for the duration.The spell doesn't enable plants to uproot themselves and move about, but they can move their branches, tendrils, and stalks for you.If a Plant creature is in the area, you can communicate with it as if you shared a common language.",
Spirit Guardians,PHB'24,319,3rd,Action,"Concentration, up to 10 minutes",Conjuration,Self,"V, S, M (a prayer scroll)",Cleric (PHB'24),,"Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Crown (SCAG) Paladin, Crown (SCAG) Paladin, War (PHB'24) Cleric, War (PHB'14) Cleric","Protective spirits flit around you in a 15-foot Emanation for the duration. If you are good or neutral, their spectral form appears angelic or fey (your choice). If you are evil, they appear fiendish.When you cast this spell, you can designate creatures to be unaffected by it. Any other creature's Speed is halved in the Emanation, and whenever the Emanation enters a creature's space and whenever a creature enters the Emanation or ends its turn there, the creature must make a Wisdom saving throw. On a failed save, the creature takes 3d8 Radiant damage (if you are good or neutral) or 3d8 Necrotic damage (if you are evil). On a successful save, the creature takes half as much damage. A creature makes this save only once per turn.",Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3.
Spirit Shroud,TCE,108,3rd,Bonus,"Concentration, up to 1 minute",Necromancy,Self,"V, S",,"Cleric (PHB'14), Cleric (PHB'24), Paladin (PHB'14), Paladin (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You call forth spirits of the dead, which flit around you for the spell's duration. The spirits are intangible and invulnerable.Until the spell ends, any attack you make deals 1d8 extra damage when you hit a creature within 10 feet of you. This damage is radiant, necrotic, or cold (your choice when you cast the spell). Any creature that takes this damage can't regain hit points until the start of your next turn.In addition, any creature of your choice that you can see that starts its turn within 10 feet of you has its speed reduced by 10 feet until the start of your next turn.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for every two slot levels above 3rd."
Stinking Cloud,PHB'24,321,3rd,Action,"Concentration, up to 1 minute",Conjuration,90 feet,"V, S, M (a rotten egg)","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Tropical Land) (PHB'24) Druid, Land (Swamp) (PHB'14) Druid, Land (Underdark) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Fiend (PHB'24) Warlock, Fiend (PHB'14) Warlock","You create a 20-foot-radius Sphere of yellow, nauseating gas centered on a point within range. The cloud is Heavily Obscured. The cloud lingers in the air for the duration or until a strong wind (such as the one created by Gust of Wind) disperses it.Each creature that starts its turn in the Sphere must succeed on a Constitution saving throw or have the Poisoned condition until the end of the current turn. While Poisoned in this way, the creature can't take an action or a Bonus Action.",
Summon Fey,PHB'24,326,3rd,Action,"Concentration, up to 1 hour",Conjuration,90 feet,"V, S, M (a gilded flower worth 300+ GP)","Druid (PHB'24), Ranger (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Fey Wanderer (PHB'24) Ranger, Illusionist (PHB'24) Wizard","You call forth a Fey spirit. It manifests in an unoccupied space that you can see within range and uses the Fey Spirit stat block. When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy. The creature resembles a Fey creature of your choice marked by the chosen mood, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.",Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.
Summon Lesser Demons,XGE,167,3rd,Action,"Concentration, up to 1 hour",Conjuration,60 feet,"V, S, M (a vial of blood from a humanoid killed within the past 24 hours)",,"Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You utter foul words, summoning demons from the chaos of the Abyss. Roll on the following table to determine what appears.d6Demons Summoned1-2Two demons of challenge rating 1 or lower3-4Four demons of challenge rating 1/2 or lower5-6Eight demons of challenge rating 1/4 or lowerThe DM chooses the demons, such as manes or dretches, and you choose the unoccupied spaces you can see within range where they appear. A summoned demon disappears when it drops to 0 hit points or when the spell ends.The demons are hostile to all creatures, including you. Roll initiative for the summoned demons as a group, which has its own turns. The demons pursue and attack the nearest non-demons to the best of their ability.As part of casting the spell, you can form a circle on the ground with the blood used as a material component. The circle is large enough to encompass your space. While the spell lasts, the summoned demons can't cross the circle or harm it, and they can't target anyone within it. Using the material component in this manner consumes it when the spell ends.","At Higher Levels. When you cast this spell using a spell slot of 6th or 7th level, you summon twice as many demons. If you cast it using a spell slot of 8th or 9th level, you summon three times as many demons."
Summon Shadowspawn,TCE,113,3rd,Action,"Concentration, up to 1 hour",Conjuration,90 feet,"V, S, M (tears inside a gem worth at least 300 gp)",,"Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You call forth a shadowy spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Shadow Spirit stat block. When you cast the spell, choose an emotion: Fury, Despair, or Fear. The creature resembles a misshapen biped marked by the chosen emotion, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block."
Summon Undead,PHB'24,328,3rd,Action,"Concentration, up to 1 hour",Necromancy,90 feet,"V, S, M (a gilded skull worth 300+ GP)","Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You call forth an Undead spirit. It manifests in an unoccupied space that you can see within range and uses the Undead Spirit stat block. When you cast the spell, choose the creature's form: Ghostly, Putrid, or Skeletal. The spirit resembles an Undead creature with the chosen form, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.",Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.
Thunder Step,XGE,168,3rd,Action,Instantaneous,Conjuration,90 feet,V,,"Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You teleport yourself to an unoccupied space you can see within range. Immediately after you disappear, a thunderous boom sounds, and each creature within 10 feet of the space you left must make a Constitution saving throw, taking 3d10 thunder damage on a failed save, or half as much damage on a successful one. The thunder can be heard from up to 300 feet away.You can bring along objects as long as their weight doesn't exceed what you can carry. You can also teleport one willing creature of your size or smaller who is carrying gear up to its carrying capacity. The creature must be within 5 feet of you when you cast this spell, and there must be an unoccupied space within 5 feet of your destination space for the creature to appear in; otherwise, the creature is left behind.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d10 for each slot level above 3rd."
Tidal Wave,XGE,168,3rd,Action,Instantaneous,Conjuration,120 feet,"V, S, M (a drop of water)",,"Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You conjure up a wave of water that crashes down on an area within range. The area can be up to 30 feet long, up to 10 feet wide, and up to 10 feet tall. Each creature in that area must make a Dexterity saving throw. On a failed save, a creature takes 4d8 bludgeoning damage and is knocked prone. On a successful save, a creature takes half as much damage and isn't knocked prone. The water then spreads out across the ground in all directions, extinguishing unprotected flames in its area and within 30 feet of it, and then it vanishes.",
Tiny Servant,XGE,168,3rd,1 Min.,8 hours,Transmutation,Touch,"V, S",,"Artificer (TCE), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch one Tiny, nonmagical object that isn't attached to another object or a surface and isn't being carried by another creature. The target animates and sprouts little arms and legs, becoming a creature under your control until the spell ends or the creature drops to 0 hit points. See the stat block for its statistics.As a bonus action, you can mentally command the creature if it is within 120 feet of you. (If you control multiple creatures with this spell, you can command any or all of them at the same time, issuing the same command to each one.) You decide what action the creature will take and where it will move during its next turn, or you can issue a simple, general command, such as to fetch a key, stand watch, or stack some books. If you issue no commands, the servant does nothing other than defend itself against hostile creatures. Once given an order, the servant continues to follow that order until its task is complete.When the creature drops to 0 hit points, it reverts to its original form, and any remaining damage carries over to that form.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can animate two additional objects for each slot level above 3rd."
Tongues,PHB'24,334,3rd,Action,1 hour,Divination,Touch,"V, M (a miniature ziggurat)","Bard (PHB'24), Cleric (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","This spell grants the creature you touch the ability to understand any spoken or signed language that it hears or sees. Moreover, when the target communicates by speaking or signing, any creature that knows at least one language can understand it if that creature can hear the speech or see the signing.",
Vampiric Touch,PHB'24,337,3rd,Action,"Concentration, up to 1 minute",Necromancy,Self,"V, S","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Grave (XGE) Cleric, Grave (XGE) Cleric, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","The touch of your shadow-wreathed hand can siphon life force from others to heal your wounds. Make a melee spell attack against one creature within reach. On a hit, the target takes 3d6 Necrotic damage, and you regain Hit Points equal to half the amount of Necrotic damage dealt.Until the spell ends, you can make the attack again on each of your turns as a Magic action, targeting the same creature or a different one.",Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.
Wall of Sand,XGE,170,3rd,Action,"Concentration, up to 10 minutes",Evocation,90 feet,"V, S, M (a handful of sand)",,"Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create a wall of swirling sand on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 10 feet thick, and it vanishes when the spell ends. It blocks line of sight but not movement. A creature is blinded while in the wall's space and must spend 3 feet of movement for every 1 foot it moves there.",
Wall of Water,XGE,170,3rd,Action,"Concentration, up to 10 minutes",Evocation,60 feet,"V, S, M (a drop of water)",,"Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create a wall of water on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 1 foot thick, or you can make a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick. The wall vanishes when the spell ends. The wall's space is difficult terrain.Any ranged weapon attack that enters the wall's space has disadvantage on the attack roll, and fire damage is halved if the fire effect passes through the wall to reach its target. Spells that deal cold damage that pass through the wall cause the area of the wall they pass through to freeze solid (at least a 5-foot-square section is frozen). Each 5-foot-square frozen section has AC 5 and 15 hit points. Reducing a frozen section to 0 hit points destroys it. When a section is destroyed, the wall's water doesn't fill it.",
Water Breathing,PHB'24,340,3rd,Action,24 hours,Transmutation (ritual),30 feet,"V, S, M (a short reed)","Artificer (TCE), Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Coast) (PHB'14) Druid, Sea (PHB'24) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter",This spell grants up to ten willing creatures of your choice within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.,
Water Walk,PHB'24,340,3rd,Action,1 hour,Transmutation (ritual),30 feet,"V, S, M (a piece of cork)","Artificer (TCE), Cleric (PHB'24), Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24)",,"Land (Coast) (PHB'14) Druid, Land (Swamp) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","This spell grants the ability to move across any liquid surface—such as water, acid, mud, snow, quicksand, or lava—as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures of your choice within range gain this ability for the duration.An affected target must take a Bonus Action to pass from the liquid's surface into the liquid itself and vice versa, but if the target falls into the liquid, the target passes through the surface into the liquid below.",
Wind Wall,PHB'24,341,3rd,Action,"Concentration, up to 1 minute",Evocation,120 feet,"V, S, M (a fan and a feather)","Druid (PHB'24), Ranger (PHB'24)",,"Artillerist (TCE) Artificer, Lore (PHB'24) Bard, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Genie (Djinni) (TCE) Warlock, Genie (Djinni) (TCE) Warlock","A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration.When the wall appears, each creature in its area makes a Strength saving throw, taking 4d8 Bludgeoning damage on a failed save or half as much damage on a successful one.The strong wind keeps fog, smoke, and other gases at bay. Small or smaller flying creatures or objects can't pass through the wall. Loose, lightweight materials brought into the wall fly upward. Arrows, bolts, and other ordinary projectiles launched at targets behind the wall are deflected upward and miss automatically. Boulders hurled by Giants or siege engines, and similar projectiles, are unaffected. Creatures in gaseous form can't pass through it.",
